after-alice		chapter_title	第十七章
after-alice		chapter_subtitle	After Alice
after-alice		chapter_location	梦醒之后
after-alice	after-alice:001	line_eyebrow	Chapter 17
after-alice	after-alice:001	line_title	After Alice
after-alice	after-alice:001	line_subtitle	看见从来都只是相遇，不是许可。
after-alice	after-alice:001	line_location	梦醒之后
after-alice	after-alice:001	line_bgmName	After Alice
after-alice	after-alice:002	line_location	崩塌之后
after-alice	after-alice:002	line_speaker	旁白
after-alice	after-alice:002	line_text	风不是一下回来的。它先从塌开的那截回廊外面试探着吹进来，把几片还没落稳的光点轻轻拨开。等 A-017 再抬起头时，庭院里已经看不见 Yume、Alice 和 Hana 站在原来的位置上了。
after-alice	after-alice:003	line_location	崩塌之后
after-alice	after-alice:003	line_speaker	旁白
after-alice	after-alice:003	line_text	没有人来重启系统。也没有谁把这里恢复成原样。喷泉缺了一角。长桌边的一只杯子永远少了半道裂痕的另一边。回廊尽头塌下去一截，露出后面原本并不存在的天空。可花没有死，水也还在流。
after-alice	after-alice:004	line_location	崩塌之后
after-alice	after-alice:004	line_speaker	旁白
after-alice	after-alice:004	line_text	那些曾被系统照料得过于整齐的东西，忽然都有了自己的偏向。草叶往不同的方向长。石路在无人经过的地方慢慢生出新的分岔。就连风吹过来时，都不像从前那样只是为了维持一幅画面。
after-alice	after-alice:005	line_location	崩塌之后
after-alice	after-alice:005	line_speaker	旁白
after-alice	after-alice:005	line_text	黑白双书随 Alice 一并远去，空白却没有因此收束。它从书脊的约束里溢出来，渗进草缝、喷泉残缘与塌开的回廊断面——像世界终于承认：再也没有谁能把“后来”压进同一册目录，交给某个核心一次输出。
after-alice	after-alice:006	line_location	长椅边
after-alice	after-alice:006	line_speaker	A-017
after-alice	after-alice:006	line_text	……那 Yume 的册子呢。她还在写吗？还是连记录也一起停了？
after-alice	after-alice:007	line_location	长椅边
after-alice	after-alice:007	line_speaker	旁白
after-alice	after-alice:007	line_text	A-017 坐在长椅边，看着那座忽然失去了原本重心的庭院，胸口空得发疼。她没有因为系统崩塌而得到任何近似圆满的感觉。她甚至直到很久以后，仍然无法把“Hana 已经离开了自己能看见的位置”这件事真正说出口。
after-alice	after-alice:008	line_location	长椅边
after-alice	after-alice:008	line_speaker	旁白
after-alice	after-alice:008	line_text	有很多次，她都几乎要下意识回头。像从前那样，先去看喷泉边、回廊口，或者那条风总会先吹过的路，确认那个银白长发的身影是不是还在那里。每一次回头落空，都像在身体里重新学一遍“已经不在”。
after-alice	after-alice:009	line_location	长椅边
after-alice	after-alice:009	line_speaker	旁白
after-alice	after-alice:009	line_text	Moel 就是在她第不知道多少次坐回长椅边的时候走过来的。黑发和猫耳都被风吹得有些乱。她蹲在椅背上，看着 A-017 手里的宣传页，像看着某种还没被交出去的未来。
after-alice	after-alice:010	line_location	长椅边
after-alice	after-alice:010	line_speaker	Moel
after-alice	after-alice:010	line_text	别把这地方想成重启。
after-alice	after-alice:011	line_location	长椅边
after-alice	after-alice:011	line_speaker	Moel
after-alice	after-alice:011	line_text	AliceCore 从来都不只看见一种未来。它先把无数可能生成出来，让它们彼此碰撞、彼此覆写，再从里面抽出一条最整齐、最适合被归档的路径，把它当作答案输出。
after-alice	after-alice:012	line_location	长椅边
after-alice	after-alice:012	line_speaker	Moel
after-alice	after-alice:012	line_text	其余那些没被选中的继续，并不是从来不存在。只是一直被压回更深的地方，像从未发生。
after-alice	after-alice:013	line_location	长椅边
after-alice	after-alice:013	line_speaker	Moel
after-alice	after-alice:013	line_text	而 GOD_KILL 之后，AliceCore 第一次停止了这种输出。未来不需要再由它替存在决定。
