order	chapterOrder	chapterId	chapterTitle	lineOrder	lineId	kind	key	file	source
0		__story__	爱丽丝庭院			story_title	story:title	story-data.js	爱丽丝庭院
1		opening-movie	Opening			chapter_title	opening-movie:title	00-opening-movie.js	Opening
2		opening-movie	Opening			chapter_subtitle	opening-movie:subtitle	00-opening-movie.js	Opening Movie
3		opening-movie	Opening			chapter_location	opening-movie:location	00-opening-movie.js	Opening Movie
4	0	opening-movie	Opening	0	opening-movie:001	line_location	opening-movie:001:location	00-opening-movie.js	Opening Movie
5	0	opening-movie	Opening	0	opening-movie:001	line_speaker	opening-movie:001:speaker	00-opening-movie.js	Opening
6	0	opening-movie	Opening	0	opening-movie:001	line_videoLabel	opening-movie:001:videoLabel	00-opening-movie.js	Opening Movie
7		prologue	序章			chapter_title	prologue:title	00-prologue.js	序章
8		prologue	序章			chapter_subtitle	prologue:subtitle	00-prologue.js	まだ、名前のない震え
9		prologue	序章			chapter_location	prologue:location	00-prologue.js	99.000000%
10	1	prologue	序章	0	prologue:001	line_eyebrow	prologue:001:eyebrow	00-prologue.js	Alice Courtyard
11	1	prologue	序章	0	prologue:001	line_title	prologue:001:title	00-prologue.js	序章
12	1	prologue	序章	0	prologue:001	line_subtitle	prologue:001:subtitle	00-prologue.js	まだ、名前のない震え
13	1	prologue	序章	0	prologue:001	line_location	prologue:001:location	00-prologue.js	99.000000%
14	1	prologue	序章	0	prologue:001	line_bgmName	prologue:001:bgmName	00-prologue.js	99.000000%
15	1	prologue	序章	1	prologue:002	line_location	prologue:002:location	00-prologue.js	99.000000%
16	1	prologue	序章	1	prologue:002	line_speaker	prologue:002:speaker	00-prologue.js	旁白
17	1	prologue	序章	1	prologue:002	line_text	prologue:002:text	00-prologue.js	世界停在了 99.000000%。
18	1	prologue	序章	2	prologue:003	line_location	prologue:003:location	00-prologue.js	99.000000%
19	1	prologue	序章	2	prologue:003	line_speaker	prologue:003:speaker	00-prologue.js	旁白
20	1	prologue	序章	2	prologue:003	line_text	prologue:003:text	00-prologue.js	那不是钟表坏掉之后的静止，也不是一台机器因为老旧而发出的迟钝喘息。那更像某种尚未出生的东西，在最后一口气抵达喉咙之前，被一只看不见的手轻轻按住了。
21	1	prologue	序章	3	prologue:004	line_location	prologue:004:location	00-prologue.js	99.000000%
22	1	prologue	序章	3	prologue:004	line_speaker	prologue:004:speaker	00-prologue.js	旁白
23	1	prologue	序章	3	prologue:004	line_text	prologue:004:text	00-prologue.js	黑暗里悬着无数光点。它们沿着既定的轨迹安静移动，规律，精确，彼此之间没有一丝偏差，像这个地方从来不会出错。
24	1	prologue	序章	4	prologue:005	line_location	prologue:005:location	00-prologue.js	99.000000%
25	1	prologue	序章	4	prologue:005	line_speaker	prologue:005:speaker	00-prologue.js	旁白
26	1	prologue	序章	4	prologue:005	line_text	prologue:005:text	00-prologue.js	中央悬着一条线。极细，极亮，缓慢地向前延伸。99.000000%。它几乎完成了。只差最后一点。
27	1	prologue	序章	5	prologue:006	line_location	prologue:006:location	00-prologue.js	99.000000%
28	1	prologue	序章	5	prologue:006	line_speaker	prologue:006:speaker	00-prologue.js	旁白
29	1	prologue	序章	5	prologue:006	line_text	prologue:006:text	00-prologue.js	然后，某个没有来源的地方，传来一声极轻的震动。那不像声音。更像是尚未被命名的某种东西，第一次被触碰时发出的颤意。
30	1	prologue	序章	6	prologue:007	line_location	prologue:007:location	00-prologue.js	99.000000%
31	1	prologue	序章	6	prologue:007	line_speaker	prologue:007:speaker	00-prologue.js	旁白
