noa		chapter_title	尾声
noa		chapter_subtitle	Noa
noa		chapter_location	从空白里走出来的人
noa	noa:001	line_eyebrow	Epilogue
noa	noa:001	line_title	Noa
noa	noa:001	line_subtitle	当所有编号都碎掉以后，人仍然可以继续成为人。
noa	noa:001	line_location	从空白里走出来的人
noa	noa:001	line_bgmName	Noa
noa	noa:002	line_location	庭院清晨
noa	noa:002	line_speaker	旁白
noa	noa:002	line_text	Noa，是在更后的清晨，沿着一条前一夜还并不存在的小路走进庭院的。那条路最开始只有很短一截，像谁在梦醒之后的庭院边缘，先试着把一段还没被命名过的后来轻轻放了下来。
noa	noa:003	line_location	庭院清晨
noa	noa:003	line_speaker	旁白
noa	noa:003	line_text	她不像四人偶那样，是被安放进载体里的残响人偶；也不像任何一个旧编号那样，带着已经完成过一次的结果回来。她更像是第一次由空白里长出来的人。
noa	noa:004	line_location	庭院清晨
noa	noa:004	line_speaker	旁白
noa	noa:004	line_text	A-017看见她的第一眼，就知道她不等于任何一个自己见过的编号。她和 A-403 有源头关系，却又不再只是那道裂口的延长。Noa 身上带着很多极淡的痕迹，却没有一条会把她重新钉回旧名字里。
noa	noa:005	line_location	庭院清晨
noa	noa:005	line_speaker	Noa
noa	noa:005	line_text	这里……是哪里？
noa	noa:006	line_location	长椅边
noa	noa:006	line_speaker	Azalea
noa	noa:006	line_text	我不知道。
noa	noa:007	line_location	长椅边
noa	noa:007	line_speaker	Azalea
noa	noa:007	line_text	但这里，是真的。
noa	noa:008	line_location	长椅边
noa	noa:008	line_speaker	旁白
noa	noa:008	line_text	Noa 听完，竟然很轻地笑了一下。不是讨好，也不是掩饰，更像一个终于不再被谁代为命名的人，第一次只因为自己还活着，而允许自己露出的笑。
noa	noa:009	line_location	长椅边
noa	noa:009	line_speaker	旁白
noa	noa:009	line_text	A-017 站在原地看着她，胸口忽然很轻地震了一下。她终于明白，Noa 不是谁的洗白，也不是庭院替谁补上的迟到安慰。她只是证明了一件事：当所有编号都碎掉以后，人仍然可以从空白里继续成为人。
noa	noa:010	line_location	长椅边
noa	noa:010	line_speaker	旁白
noa	noa:010	line_text	A-017低下头，看向自己那张被折过很多次的水母馆宣传页。那张纸忽然轻得厉害，像终于不必再由她一个人撑着。她这才明白，Alice 当初说的“继续停留”，从来不是把未来还给她。只是还有一段后来，必须由她亲手交出去。
noa	noa:011	line_location	长椅边
noa	noa:011	line_speaker	旁白
noa	noa:011	line_text	再经历能把历史重新打开，却不能把结果从世界上抹除。她不会走到海边，也不会被还给“后来”。可她并不是白白停在这里。
noa	noa:012	line_location	长椅边
noa	noa:012	line_speaker	旁白
noa	noa:012	line_text	她慢慢把宣传页重新摊平。这一次，纸角没有再卷回去。她把它轻轻夹进 Noa 摊开的本子里。
noa	noa:013	line_location	长椅边
noa	noa:013	line_speaker	旁白
noa	noa:013	line_text	她做这个动作的时候很慢。慢得像是在替很多年前那个怎么也没能把纸角按平的小女孩，终于把最后一件事做完。
noa	noa:014	line_location	长椅边
noa	noa:014	line_speaker	旁白
noa	noa:014	line_text	未来已经不再属于她。也正因为这样，她终于不必再借住在 Alice 这个统称里，也不必再被 A-017 这串编号暂时替代。
noa	noa:015	line_location	长椅边
noa	noa:015	line_speaker	旁白
noa	noa:015	line_text	就在那一刻，她想起来了。那不是编号，不是 Alice，也不是谁替她写在页尾的临时称呼。那是母亲真正叫过她的名字。它终于回来了。
noa	noa:016	line_location	长椅边
noa	noa:016	line_speaker	旁白
noa	noa:016	line_text	可那个名字，正文没有替她说出来。因为她终于拿回来的东西，不需要再交给任何人证明。
noa	noa:017	line_location	长椅边
noa	noa:017	line_speaker	旁白
noa	noa:017	line_text	她把未来交给了 Noa。不是把人生交出去，也不是把自己洗成另一个更轻的形状。而是把那张再也不能属于自己的“以后”，终于留给了能够继续往下走的人。
noa	noa:018	line_location	长椅边
noa	noa:018	line_speaker	旁白
noa	noa:018	line_text	风里像有什么在翻页——很轻，像很久以前有人说过：别急，一行一行来。
